	cocktail	cluster	x	y
735	Snowball Cocktail	7	-4.562061309814453	28.62571144104004
736	Violet Fizz	5	-21.660058975219727	-7.8635029792785645
737	Bikini	2	21.866111755371094	-14.04318618774414
738	Cold Deck Cocktail	0	38.06791305541992	-5.725606441497803
739	The Big Crush	8	-12.095724105834961	29.674837112426758
740	Bianca	2	19.59758758544922	-16.928302764892578
741	Bella Fragolia	2	20.653324127197266	-15.407796859741211
742	Beer Buster	3	7.685011863708496	-17.80185317993164
743	Basil 8	8	-13.244559288024902	32.08428955078125
744	Shamrock Cocktail	0	38.593257904052734	-5.856886386871338
745	Aqueduct	8	-11.198575019836426	29.503387451171875
746	Scotch Whisky Highball	2	17.744295120239258	-9.001117706298828
747	Alfie Cocktail	6	8.136707305908203	23.358051300048828
748	Admiral Perry	3	6.845850467681885	-20.316057205200195
749	Yellow Rose Of Texas	2	19.95383644104004	-11.838025093078613
750	St. Patrick's Day Cocktail	0	39.35188293457031	-7.062338829040527
751	Purple Twister	2	16.721881866455078	-15.74433422088623
752	Waiting On Summer	8	-16.360036849975586	32.10751724243164
753	Cognac Highball	2	17.577857971191406	-9.488116264343262
754	Prince's Smile Cocktail	4	-17.362218856811523	-20.42057991027832
755	Viva Villa	8	-16.271236419677734	31.156620025634766
756	Praire Oyster Cocktail	4	-9.954262733459473	-15.679574966430664
757	Praire Chicken	5	-20.92743492126465	-13.244742393493652
758	Venial Sin	3	3.06854248046875	-11.28536605834961
759	Vagabundo	6	7.481823444366455	21.616863250732422
760	The 21st Century	8	-15.493624687194824	29.97650909423828
761	Pollyanna Cocktail	7	1.8844815492630005	24.684335708618164
762	Toreador	3	3.906343936920166	-17.06450653076172
763	Pink Squirrel Cocktail	3	3.2606842517852783	-17.080175399780273
764	Pink Lady Cocktail	5	-21.93733787536621	-12.149267196655273
765	Tijuana Taxi	3	6.966642379760742	-13.073797225952148
766	Tia Juanathan	8	-15.909576416015625	28.931644439697266
767	Phoebe Snow Cocktail	4	-10.331493377685547	-18.91863441467285
768	Tequonic	8	-16.49435806274414	29.820514678955078
769	Tequini	9	-26.93946075439453	26.25208282470703
770	Passion Daiquiri Cocktail	1	25.741941452026367	-3.549431324005127
771	Parisian Blonde Cocktail	1	31.28959083557129	-5.700287342071533
772	Tequila Sunrise	3	4.5194172859191895	-13.214709281921387
773	Coffee Grasshopper	0	37.413787841796875	-6.490653991699219
774	Tequila Straight	8	-16.428878784179688	30.640487670898438
775	Tequila Sour	2	20.043724060058594	-11.853438377380371
776	Tequila Smash	8	-15.268453598022461	30.78325653076172
777	Tequila Pink	7	1.8283586502075195	28.576940536499023
778	Tequila Old-Fashioned	9	-23.012001037597656	22.22700309753418
779	Rob Roy Cocktail	7	0.5317057371139526	29.816890716552734
780	Tequila Mockingbird	8	-16.9626522064209	31.085243225097656
781	Tequila Matador	6	7.62015438079834	21.68592071533203
782	Tequila Manhattan	9	-26.939435958862305	26.252182006835938
783	T.N.T. Cocktail	3	2.477876663208008	-15.143006324768066
784	Thunderclap Cocktail	4	-13.643332481384277	-19.202735900878906
785	Thunder Cocktail	4	-13.153700828552246	-14.411696434020996
786	Tequila Collins	2	24.03009033203125	-11.856700897216797
787	White Lady Cocktail	5	-19.520309448242188	-8.910786628723145
788	Tequila Canyon	6	6.99347448348999	21.17091941833496
789	Chicago Cocktail	4	-14.712644577026367	-25.667104721069336
790	Sunday Confession	2	15.412673950195312	-11.405014991760254
791	Strawberry Margarita	8	-17.827564239501953	30.686674118041992
792	Western Rose Cocktail	4	-18.149538040161133	-21.35501480102539
793	Widow's Kiss Cocktail	9	-29.600927352905273	24.980546951293945
794	Spice Of Life	8	-16.69930648803711	32.65061569213867
795	Widow's Dream Cocktail	3	2.745056390762329	-13.840829849243164
796	Vodka Gypsy Cocktail	9	-25.154104232788086	25.93781852722168
797	South Of The Border	8	-15.113778114318848	30.323055267333984
798	Vodka Grasshopper Cocktail	0	38.19103240966797	-7.441992282867432
799	Violet Fizz Juice	5	-21.65995216369629	-7.863292694091797
800	Smoked Margarita	8	-17.397790908813477	29.49093246459961
801	Sloe Tequila	8	-15.453736305236816	29.965497970581055
802	Queen Elizabeth Cocktail	7	-1.117444396018982	27.258329391479492
803	Silk Stockings	3	4.0185160636901855	-16.82465171813965
804	Orchid Cocktail	5	-21.43204116821289	-11.86905574798584
805	Orange Milk Fizz	5	-22.544958114624023	-7.072426795959473
806	Orange Gin Rickey	7	-6.125390529632568	25.94952964782715
807	Orange Gin Highball	5	-23.916587829589844	-7.876811981201172
808	Orange Gin Fizz	5	-22.557174682617188	-7.576711654663086
809	Orange Gin Collins	5	-23.724626541137695	-7.825083255767822
810	Sidewinder	8	-17.811054229736328	31.769742965698242
811	Orange Blossom Cocktail	5	-21.970977783203125	-7.095510959625244
812	Shady Lady	8	-14.833806991577148	34.0233154296875
813	Cherry Blossom	4	-12.970868110656738	-25.410865783691406
814	The Sfozando	9	-26.45176887512207	25.110692977905273
815	Napoleon Cocktail	7	-3.1882991790771484	31.384849548339844
816	Moulin Rouge Cocktail	7	-2.9515268802642822	24.991836547851562
817	Sea Of Cortez	8	-16.039369583129883	29.09252166748047
818	Satin Sheets	8	-15.7706298828125	31.134342193603516
819	Santana Sling	1	29.82947540283203	-1.2039316892623901
820	Rosita	9	-26.49437141418457	26.043413162231445
821	Mariposa Cocktail	4	-11.270318984985352	-24.858976364135742
822	Margarita Cocktail	8	-17.225309371948242	29.61781883239746
823	The Refuge	8	-14.67879581451416	33.127113342285156
824	Manhattan Cocktail (dry)	7	0.6285225749015808	29.423994064331055
825	Mamie Taylor	8	-14.012925148010254	29.769817352294922
826	Quetzalcoatl	3	6.939565658569336	-10.885427474975586
827	Zero Mint	0	38.641849517822266	-6.358168125152588
828	Purple Pancho	5	-21.46589469909668	-5.658139705657959
